02C	Marketing/sales executives	368
02C1	Marketing manager	166
02C2	Market research analyst	61
02C3	Company sales manager	116
02C4	Marketing/sales exec. trainee	11
02CZ	Marketing/sales executive NOS	43
02D	Advertising/public relations	30
02D1	Advertising manager	24
02D2	Advertising account executive	12
02D3	Media planner	24
02D4	Advertisement manager	9
02D5	Public relations officer	54
02DZ	Advertising/public relat. NOS	4
02E	Purchasing officers/buyers	61
02E1	Purchasing manager	14
02E2	Retail buyer	42
02E3	Wholesale buyer	4
02E4	Purchasing officer	5
02E5	Buyer - advertising space	1
02E6	Print buyer - advertising	3
02EZ	Purchasing officer/buyer NOS	8
02F	Property/estate manager	66
02F1	Estate agent	103
02F2	Land agent	1
02F3	Trainee estate agent	10
02FZ	Property/estate manager NOS	5
02G	Librarian/information officer	2
02G1	Librarian	113
02G2	Archivist	11
02G3	Information officer	21
02G4	Gov't. intelligence officer	2
02G5	Trainee librarian	7
02GZ	Librarian/info.officer NOS	1
02H	Statutory inspectors	4
02H1	Environmental health officer	61
02H2	Pollution inspector	1
02H3	Trading standards officer	4
02H4	Inspector of factories	8
02H5	Ship surveyor	1
02H6	Building inspector	11
02H7	Public utility inspector	1
02H8	Customs and excise officer	19
02HB	Driving/traffic examiner	11
02HZ	Statutory inspector NOS	4
02Z	Management support NOS	578
02Z1	Personal assistant	234
02Z2	National gov't. officer NOS	30
02Z3	Local gov't. officer NOS	180
02Z4	Appraiser (services standards)	1
02Z5	Management consultant	292
02ZZ	Other management support NOS	32
03	Education/welfare/health prof.	1934
031	University academic staff	54
0311	University vice-chancellor	1
0312	University professor	33
0313	University lecturer	248
031Z	University teacher NOS	16
032	Teacher training teachers	29
0321	Teacher training principal	1
0322	Teacher training teacher	11
032Z	Teacher training teacher NOS	5
033	Further education teachers	106
0332	Further education teacher	82
033Z	Further education teacher NOS	22
034	Secondary teachers	215
0341	Secondary school head teacher	34
0342	Secondary school teacher	494
034Z	Secondary teacher NOS	141
035	Primary teachers	263
0351	Primary school head teacher	37
0352	Teacher - junior class	213
0353	Teacher - infant class	149
035Z	Primary teacher NOS	200
036	Pre-primary teachers	47
0361	Pre-primary head teacher	4
0362	Pre-primary teacher	32
036Z	Pre-primary teacher NOS	15
037	Vocational trainers	22
0371	Vocational training manager	12
0372	Vocational training instructor	9
0373	Vocational training trainee	5
037Z	Vocational trainer NOS	15
038	Other teachers/instructors	178
0381	Director of education	4
0382	Education officer	28
0383	Teaching principal NOS	10
0384	Inspector of schools	3
0385	Training service inspector	4
0386	Physical training teacher	35
0387	Private tutor	22
0388	Private music teacher	36
0389	Private dancing teacher	12
038A	Private driving instructor	84
038Z	Other teacher NOS	406
039	Social scientists	5
0391	Sociologist	3
0392	Anthropologist	1
0393	Archaeologist	9
0394	Historian	6
0396	Psychologist	170
039Z	Social scientist NOS	7
03A	Welfare occupations	301
03A1	Welfare manager	35
03A2	Social caseworker (general)	87
03A3	Family caseworker	10
03A4	Moral welfare worker	2
03A5	Probation officer	46
03A6	Inspector - N.S.P.C.C.	3
03A8	Child care officer	28
03A9	Youth leader	29
03AA	Matron - nursery	8
03AB	Residential child care worker	15
03AC	Residential youth care worker	10
03AD	Matron (old people's home)	5
03AE	Welfare officer - elderly	8
03AF	Welfare off.- physic.handicap.	3
03AH	Welfare officer to the deaf	1
03AI	Medical social worker	9
03AJ	Psychiatric social worker	57
03AK	Mental welfare officer	5
03AL	Leader - social group work	4
03AM	Housing manager	18
03AN	Welfare officer (for staff)	2
03AO	Safety officer	25
03AQ	Social worker	208
03AZ	Welfare occupation NOS	69
03B	Religious occupations	57
03B1	Minister of religion	63
03BZ	Religious occupation NOS	7
03C	Careers/vocational officers	9
03C1	Careers officer	15
03C2	Vocational guidance specialist	3
03CZ	Career guidance NOS	12
03D	Medical practitioners	457
03D1	Medical administrator-national	15
03D2	Community physician	16
03D3	Medical administrator-hospital	20
03D4	Consultant physician	150
03D5	Consultant surgeon	149
03D6	Consultant gynae.+ obstetrics	56
03D7	Anaesthetist	37
03D8	Psychiatrist	382
03D9	Radiologist	1881
03DA	Hospital registrar	36
03DB	Hospital house officer	14
03DC	General medical practitioner	2270
03DD	Occupational physician	9
03DE	Clinical medical officer	13
03DF	Medical practitioner -teaching	30
03DG	General practitioner principal	5
03DH	General practitioner registrar	3
03DJ	Hospital consultant	18
03DZ	Medical practitioners NOS	27
03E	Dental practitioners	128
03E1	Dental administrator	1
03E2	Dental consultant	11
03E3	Dental general practitioner	31
03E4	Dental practitioner - teaching	1
03EZ	Dental practitioner NOS	26
03F	Nursing occupations	1043
03F1	Nurse administrator - national	12
03F3	Nursing officer - district	3
03F4	Nursing admin.-profession.body	2
03F5	Nursing officer - division	2
03F6	Nurse education director	7
03F7	Occ.health nursing officer	12
03F8	Nursing officer	11
03F9	Nursing sister/charge nurse	166
03FA	Midwifery sister	37
03FB	Nursing sister (theatre)	12
03FC	Staff nurse	625
03FD	Staff midwife	21
03FE	State enrolled nurse	74
03FF	Nursing auxiliary	232
03FG	District nurse	604
03FH	Private nurse	34
03FI	District midwife	12
03FJ	Health visitor	392
03FK	Clinic nurse	76
03FL	Practice nurse	278
03FM	Occupational health nurse	24
03FN	School nurse	49
03FO	Nurse - teaching	21
03FP	Student nurse	142
03FQ	Dental nurse	144
03FR	Community paediatric nurse	17
03FS	Nursery nurse	274
03FT	Hospital nurse	37
03FU	Midwife	47
03FV	Community psychiatric nurse	64
03FZ	Nursing occupations NOS	142
03G	Pharmacists	122
03G1	Hospital pharmacist	22
03G2	Retail pharmacist	66
03G3	Industrial pharmacist	3
03G4	Pharmaceutical officer H.A.	4
03G5	Trainee pharmacist	4
03GZ	Pharmacist NOS	99
03H	Medical radiographers	23
03H1	Diagnostic radiographer	29
03H2	Therapeutic radiographer	6
03H3	Trainee radiographer	4
03HZ	Medical radiographer NOS	23
03I	Opticians	971
03I1	Ophthalmic optician	596
03I2	Dispensing optician	56
03I3	Trainee optician	1
03IZ	Optician NOS	102
03J	Physio/occup/speech therapists	19
03J1	Physiotherapist	817
03J2	Remedial gymnast	2
03J3	Osteopath	203
03J4	Masseur	7
03J5	Occupational therapist	220
03J6	Speech therapist	254
03J7	Orthoptist	208
03J9	Professional counsellor	73
03JZ	Remedial therapist NOS	9
03K	Medical/dental technicians	39
03K1	Dietician	547
03K2	Chiropodist	287
03K3	Dental auxiliary	4
03K4	Dental hygienist	27
03K5	ECG technician	125
03K6	EEG technician	7
03K7	Artificial limb fitter	2
03K8	Audiology technician	117
03K9	Pharmacy technician	43
03KA	Trainee medical technician	1
03KZ	Medical/dental technicians NOS	5
03L	Animal health occupations	25
03L1	Veterinarian	40
03L2	Animal health attendant	5
03L3	Animal laboratory technician	4
03L4	Trainee - animal health	3
03LZ	Animal health occupations NOS	9
03Y	Other health occupations	77
03Y0	Medical secretary	43
03Y1	Other practice health professional	2
03Y2	Other practice staff	7
03Y3	Other health professional	25
03Y4	Other regular care provider	57
03Z	Education/welfare/health NOS	116
04	Literary/artistic/sports occ.	110
041	Authors/writers/journalists	192
0411	Editor - newspaper/periodical	40
0412	Editor - books	23
0413	Editor - radio/t.v.programmes	11
0414	Author	8
0416	Reporter (press/radio/t.v.)	21
0417	Writer - journalism	88
0418	Advertising copy writer	9
0419	Publicity writer	7
041A	Technical writer	5
041C	Process description writer	1
041D	Programme writer	1
041E	Translator/interpreter	451
041F	Monitor (radio broadcasts)	2
041G	Literary agent	3
041H	Trainee writer	2
041Z	Author/writer/journalist NOS	5
042	Artists/sculptors	17
0421	Artist	91
0422	Commercial artist	23
0423	Sculptor	9
0424	Etcher/engraver	6
0425	Interior decoration designer	72
0426	Set designer - theatre/t.v.	17
0427	Art director (films)	9
0428	Display artist	7
0429	Trainee artist	1
042Z	Artist/sculptor NOS	4
043	Industrial designers	63
0431	Industrial design manager	15
0432	Industrial designer	22
043Z	Industrial designer NOS	44
044	Directors/producers/managers	43
0441	Producer - theatre/artistic	9
0442	Producer - radio/t.v.	33
0443	Director - films	11
0444	General manager - theatre	4
0445	Stage manager - theatre	6
0446	Touring manager -entertainment	5
0447	Lighting manager - t.v.	4
0448	Stage manager - t.v.	1
0449	Producer - films	4
044B	Film editor	7
044C	Casting director	2
044D	Film production NOS	16
044Z	Director/producer/manager NOS	28
045	Musical composers/choreograph.	6
0451	Composer	5
0452	Orchestrator/arranger	5
0453	Choreographer	4
045Z	Musical composer NOS	12
046	Performers (entertainment)	87
0461	Conductor (musical)	2
0462	Instrumentalist	73
0463	Singer	69
0464	Actor	92
0465	Dancer	70
0466	Acrobat	3
0467	Comedian/clown	10
0468	Conjurer	1
0469	Trainer - performing animals	3
046A	Trainee entertainer	4
046Z	Performer (entertainer) NOS	5
047	Photographers/cameramen	61
0471	Photographer (still camera)	32
0472	Graphic reproduction operator	43
0473	Television cameraman	8
0474	Film cameraman	8
0476	Trainee photographer	2
047Z	Photographer/cameraman NOS	10
048	Sound/vision/equipment operat.	14
0481	Audio-visual aids operator	3
0482	Projectionist	3
0483	Telecine operator	3
0484	Video tape recorder operator	9
0485	Film recorder operator	3
0486	Sound recordist	7
0487	Sound mixer	1
0488	Dubbing mixer	1
048Z	Sound/vision operator NOS	5
049	Other performing/arts occup.	146
0493	Theatrical agent	6
0494	Window dresser	3
0495	Florist	64
0497	Fashion model	14
049Z	Other performing/arts NOS	23
04A	Professional sport occupations	33
04A1	Sports team manager	2
04A2	Prof. association footballer	14
04A3	Jockey	2
04A4	Racing car driver	1
04A5	Racing motor cyclist	6
04A6	Professional sportsman	15
04A7	Sports instructor	57
04A8	Sports coach	25
04A9	Sports official	3
04AA	Sport trainee	2
04AB	Professional boxer	4
04AZ	Professional sport occup. NOS	3
04Z	Literary/artistic/sport NOS	23
05	Prof. scientists/engin/technol	877
051	Biolog scientists/biochemists	56
0511	Biological science manager	2
0512	Biologist	15
0513	Zoologist	8
0516	Parasitologist	2
0519	Microbiologist	35
051B	Ecologist	10
051C	Physiologist	12
051D	Geneticist	45
051E	Cytologist	1
051F	Histologist	4
051G	Pathologist	23
051H	Pharmacologist	8
051I	Agricultural scientist	1
051J	Biochemist	100
051K	Trainee biological scientist	1
051Z	Biological scientist NOS	22
052	Chemical scientists	17
0521	Chemical scientist manager	6
0522	General chemist	19
0523	Research chemist	38
0524	Analytical chemist	14
0525	Consultancy/advice chemist	144
0526	Physical chemist	1
052Z	Chemical scientist NOS	8
053	Physical scientists	7
0531	Physical scientist manager	2
0532	General physicist	14
0533	Electronics physicist	5
0537	Hospital physicist	13
0538	Meteorologist	1
0539	Astronomer	2
053A	Geophysicist	8
053Z	Physical scientist NOS	1
054	Geological scientists	6
0541	Geological scientist manager	1
0542	Geologist	23
054Z	Geological scientist NOS	2
055	Mathematicians	4
0552	Pure mathematician	1
0553	Applied mathematician	2
055Z	Mathematician NOS	1
056	Other natural scientists	18
056Z	Natural scientist NOS	12
057	Civil/structural engineers	90
0571	Civil engineer manager	27
0572	Civil engineer - general	139
0573	Civil engineer - research	6
0574	Civil engineer - design	39
0575	Civil eng.-feasability studies	2
0577	Civil eng.- consultancy/advice	17
0578	Civil engineer - trainee	6
057Z	Civil engineer NOS	63
058	Mining/quarrying/drilling eng.	6
0581	Mining engineer manager	3
0582	Mining engineer - coal	5
0583	Mining engineer -ores/minerals	2
0584	Quarrying engineer	2
0585	Natural gas engineer	30
0586	Oil well engineer	4
058Z	Mine/quarry/drill eng. NOS	2
059	Mechanical engineers	201
0591	Mechanical engineer manager	38
0592	Mechanical engineer - general	133
0593	Mech.eng.- research/develop.	14
0594	Mechanical engineer - design	41
0596	Mech.eng.- applications	10
0597	Mechanical engineer - liaison	5
0598	Mech.eng.- consultancy/advice	8
0599	Mechanical engineer - trainee	29
059Z	Mechanical engineer NOS	67
05A	Aeronautical engineers	14
05A1	Aeronautical eng.- manager	1
05A2	Aeronautical eng.- general	3
05A4	Aeronautical eng.- design	2
05A8	Aero.eng.- consultancy/advice	1
05AZ	Aeronautical engineer NOS	9
05B	Electrical/electronic engineer	256
05B1	Electr.engineer - manager	29
05B2	Electr.engineer - general	85
05B3	Electr.eng.- research/develop.	7
05B4	Electr.engineer - design	23
05B5	Electr.eng-feasability studies	1
05B6	Electr.eng.- applications	10
05B7	Electr.engineer - liaison	3
05B8	Elec.eng.- consultancy/advice	12
05B9	Elect.engineer - trainee	7
05BZ	Elect.engineer NOS	65
05C	Chemical engineers	11
05C1	Chemical engineer manager	2
05C2	Chemical engineer - general	6
05C3	Chem.eng.- research/develop.	2
05C4	Chemical engineer - design	3
05C6	Chem.engineer - applications	1
05C8	Chem.eng.- consultancy/advice	2
05CZ	Chemical engineer NOS	4
05D	Production engineers	26
05D1	Production engineer	38
05DZ	Production engineer NOS	8
05E	General/other engineers	76
05E1	Agricultural engineer	2
05E2	Heating/ventilating engineer	80
05E3	Instrumentation engineer	7
05E5	Refrigeration engineer	9
05E6	Traffic engineer	7
05E7	General engineer	77
05E8	Trainee engineer	3
05EZ	General/other engineer NOS	407
05F	Technologists	34
05F1	Technology manager	21
05F2	Metallurgist	7
05F3	Glass technologist	5
05F4	Ceramics technologist	2
05F5	Rubber technologist	1
05F6	Plastics technologist	1
05F7	Textile technologist	18
05F9	Food technologist	8
05FA	Brewer	5
05FZ	Technologist NOS	14
05G	Flight deck officers	72
05G1	Aeroplane pilot	49
05G2	Helicopter pilot	4
05G6	Flying instructor	2
05G8	Flight engineer	5
05GZ	Flight deck officer NOS	2
05H	Air traffic planning/control	3
05H1	Flight planner	1
05H3	Air traffic control officer	3
05I	Ship masters/officers/pilots	1
05I1	Ship master	2
05I6	Ship engineer officer	3
05IZ	Ship master/officer/pilot NOS	1
05J	Town planners/architects	57
05J1	Town planner	25
05J2	Architect - buildings	71
05J3	Architect - landscape	4
05J4	Trainee architect	5
05JZ	Town planner/architect NOS	3
05K	Surveyors	62
05K1	Land surveyor	21
05K3	Marine surveyor	4
05K5	Building surveyor	73
05K6	Insurance surveyor	2
05K7	Quantity surveyor	101
05K8	Surveyor trainee	1
05KZ	Surveyor NOS	80
05L	Draughtsmen	22
05L1	Chief draughtsman	1
05L2	Design draughtsman	47
05L3	Engineering draughtsman	23
05L4	Architectural draughtsman	10
05L5	Map/chart draughtsman	2
05L6	Detail draughtsman	3
05L7	Technical drawing checker	2
05LA	Technical illustrator	8
05LB	Trainee draughtsman	1
05LZ	Draughtsman NOS	20
05M	Laboratory technicians	34
05M1	Lab.tech.- general science	18
05M2	Lab.technician - biology	9
05M3	Lab.technician - chemistry	10
05M4	Lab.technician - physics	3
05M5	Medical laboratory technician	23
05M6	Lab.technician-materials prep.	5
05M7	Lab.technician - analysis	11
05M8	Lab.tech.- equipment operation	2
05M9	Trainee lab. technician	2
05MZ	Laboratory technician NOS	15
05N	Other technical assistants	27
05N1	Quantity surveyor assistant	2
05N2	Town planning technician	2
05N3	Architectural technician	18
05N4	Civil engineering technician	9
05NZ	Other technical assistants NOS	11
05O	General eng. tech. assistant	93
05O1	Mech.eng.tech.assistant	16
05O2	Elect.eng.tech.assistant	22
05O3	Chem.eng.tech.assistant	2
05OZ	General tech.assistant NOS	13
05P	Tech. controller- installation	8
05Q	Test engineer	2
05Q1	Test engineer - mech.eng.	1
05Q2	Test engineer - elect.eng.	2
05QZ	Test engineer NOS	2
05R	Maintenance technicians	48
05R1	Maintenance technician	23
05R2	Maintenance tech.- elect.eng.	11
05RZ	Maintenance technician NOS	20
05S	Technical service advisor	19
05S1	Tech.service adv.- mech.eng.	2
05S2	Tech.service adv.-elect.eng.	3
05SZ	Tech.service advisor NOS	5
05Z	Other science/eng./technology	132
05Z4	Planning engineer	4
05Z5	Materials planner	2
05Z6	Numerical control planner	2
05Z7	Quality control engineer	7
05Z8	Patent agent	2
05ZA	Technical assistant	18
05ZZ	Other science/eng./tech. NOS	29
06	Managerial occupations	1368
061	Works/production managers	85
0611	Works manager	21
0612	Production control manager	19
0613	Production superintendant	2
0614	Productive executive	6
061Z	Works/production manager NOS	16
062	Engineer maintenance manager	47
0621	Eng.maintenance manager	14
0622	Motive power superintendant	1
0623	Aircraft maintenance manager	8
062Z	Engineer maint.manager NOS	12
063	Construction managers	62
0631	Contracts manager	28
0632	Site agent	7
0633	Sub-agent	1
0634	Site engineer	7
0635	General foreman (construction)	8
0636	Resident engineer-construction	4
0637	Clerk of works	22
0638	Manager - small works	5
0639	Buildings maintenance manager	45
063Z	Construction manager NOS	8
064	Managers - underground mining	3
0644	Quarry manager	2
064Z	Manager-underground mining NOS	2
065	Managers - public utilities	34
0651	Manager -gas production/supply	3
0652	Manager - water supply	9
0653	Manager-electricity production	1
0654	Manager - public utilities	4
065Z	Manager - public utilities NOS	7
066	Transport managers	58
0661	Traffic manager	9
0662	Transport operating manager	8
0663	Transport schedule manager	3
0664	Harbour master	1
0668	Marine superintendant	1
0669	Ships agent	2
066A	Airport manager	2
066B	Station manager - airline	2
066C	Station manager - railway	4
066D	Manager - bus/coach station	2
066Z	Transport manager NOS	7
067	Managers - warehousing/stock	30
0671	Distribution manager	10
0672	Stock control manager	11
0673	Stores manager	29
0674	Warehouse manager	34
0675	Manager - loading/unloading	5
067Z	Managers-warehousing/stock NOS	2
068	Office managers	253
0681	Office manager - general	117
0682	Office manager - accounts	136
0683	Office manager -credit control	44
0684	Office manager - sales	52
0685	Office manager - transport	6
0686	Office manager - records	16
0687	Office manager - statistics	5
0688	Office manager - insurance	19
0689	Computer operations manager	207
068A	Travel office manager	28
068B	Bank branch manager	144
068C	Building soc. branch manager	8
068D	Employment agency manager	10
068E	Employment exchange manager	1
068F	Social security manager	8
068G	Tax office manager	3
068H	Registrar-birth/death/marriage	9
068I	Post office manager	15
068J	Telephone exchange manager	6
068K	Trainee office manager	1
068Z	Office manager NOS	47
069	Managers - wholesale distribut	22
0691	Wholesale distribution manager	10
0692	Trainee wholesale manager	1
069Z	Wholesale distrib.manager NOS	2
06A	Retail store/shop managers	278
06A1	Manager - department store	15
06A2	Manager - supermarket	19
06A3	Manager - branch retail shop	38
06A4	Manager-independ.retail shop	26
06A5	Departmental manager - store	11
06A6	Shopkeeper	89
06A7	Trainee shop manager	5
06AZ	Retail store/shop manager NOS	44
06B	Catering/hotel/pub managers	146
06B1	Manager - licensed hotel/club	10
06B4	Hostel warden	13
06B5	Head housekeeper	14
06B6	Catering manager	41
06B7	Manager public/club restaurant	17
06B8	Banqueting manager	2
06B9	Manager cafe restaurant	30
06BA	Canteen manager	4
06BB	Snack bar manager	4
06BC	Publican	88
06BE	Club steward	14
06BZ	Catering manager NOS	5
06C	Entertainment/sports managers	9
06C1	Manager - general recreation	3
06C2	Manager - cultural facilities	5
06C3	Entertainment manager	6
06C4	Sports centre manager	7
06C5	Sports stadium manager	1
06C7	Manager - theatre/concert hall	8
06C8	Cinema manager	3
06CZ	Recreation manager NOS	1
06D	Farming/fishing managers	4
06D2	Manager - arable farm	1
06D9	Horticultural manager	1
06DC	Oyster/mussel/clam manager	6
06E	Officer, armed forces NOS	17
06F	Police/prison/fire officers	60
06F1	Senior police officer	66
06F2	Senior fire officer	2
06F4	Prison governor	4
06F5	Security manager	26
06FZ	Police/prison/fire officer NOS	28
06Z	Other managers	61
06Z1	Laundry/dry cleaning manager	15
06Z2	Registrar - education	1
06Z3	Manager - unspecified	122
06Z4	Manager - cleaning service	19
06Z5	Manager - hairdressing/beauty	7
06Z6	Ambulance station superintend.	3
06Z8	Manager - refuse disposal	2
06Z9	Sewage works manager	6
06ZA	Trainee manager NOS	9
06ZB	Practice manager	32
06ZZ	Other manager NOS	259
07	Clerical occupations	3566
071	Supervisors of clerks	62
0711	Supervisor:cost/account clerks	9
0712	Supervisor:cash handling clerk	4
0713	Supervisor: finance clerks	45
0714	Supervisor: insurance clerks	5
0715	Supervisor: production clerks	10
0716	Supervisor: travel clerks	8
0717	Supervisor: record clerks	3
0718	Supervisor: library clerks	2
0719	Supervisor: general clerks	22
071Z	Supervisor: clerks NOS	8
072	Costing/accounting clerks	238
0721	Audit clerk	22
0722	Book keeper	89
0723	Cost clerk	8
0724	Stocktaker	5
0725	Wages clerk	26
0726	Invoice clerk	82
0727	Ledger clerk	21
0728	Trainee costing clerk	2
072Z	Costing/accounting clerk NOS	64
073	Cash handling clerks	47
0731	Bank cashier	383
0732	Building soc.counter cashier	13
0733	Post office counter clerk	38
0734	Office cashier	42
0735	Cash collector	5
0736	Ticket-issuing clerk	9
0737	Betting counter clerk	8
0738	Casino cashier	4
0739	Retail shop cashier	166
073A	Retail shop check-out operator	37
073B	Pay-out clerk	11
073C	Meter coin collector	1
073D	Parking/toll fee collector	10
073Z	Cash handling clerk NOS	21
074	Finance/investment/ins. clerk	305
0741	Foreign exch.clerk - banking	25
0742	Securities clerk	6
0743	Stockbroker's clerk	2
0744	Insurance clerk	54
0745	Insurance broker's clerk	7
0747	Probate clerk	1
074Z	Finance/invest./ins.clerk NOS	91
075	Production/materials clerk	8
0751	Planning clerk	2
0752	Purchasing clerk	4
0753	Stock control clerk	15
0754	Dispatch clerk	6
0755	Sales order clerk	15
0756	Progress clerk	2
0757	Schedule clerk	1
0758	Checker (goods) clerk	2
075Z	Production/materials clerk NOS	5
076	Shipment/travel arrange clerk	5
0761	Freight clerk	7
0762	Load control clerk	1
0764	Schedules clerk - transport	2
0766	Reservations clerk - travel	16
0767	Travel inquiry clerk	16
076Z	Shipment/travel clerk NOS	6
077	Record keeping/library clerk	10
0771	Library assistant	23
0772	Library clerk	3
0774	Records clerk	28
0775	Filing clerk	6
077Z	Records/library clerk NOS	2
078	Other general clerks	105
0781	General clerk	193
0782	Correspondence clerk	13
0783	Statistical clerk	1
0784	Control clerk -data processing	10
0785	Conveyancing clerk	1
0786	Litigation clerk	6
0787	Justices' clerk's assistant	5
0788	Advertising clerk	13
0789	Employment clerk	8
078A	Design copyist	3
078B	Tracer - drawing office	1
078C	Routine clerk	5
078D	Information clerk	5
078E	Research survey clerk	18
078Z	Other general clerk NOS	23
079	Receptionists	343
0791	Hotel receptionist	27
0792	Health services receptionist	181
079Z	Receptionist NOS	119
07A	Supervisors of typists etc.	3
07A1	Secretarial supervisor	14
07AZ	Supervisor of typist NOS	2
07B	Secretaries: shorthand/typing	461
07B1	Secretary shorthand typist	123
07B2	Shorthand typist	14
07B3	Shorthand writer	1
07B4	Secretary typist	418
07B5	Audio typist	20
07B6	Copy typist	6
07B7	Trainee secretary	2
07BZ	Secretary:shorthand/typing NOS	85
07C	Supervisors: office machine op	8
07C2	Supervisor:computer operatives	3
07CZ	Supervisor: office machine NOS	4
07D	Office machine operators	10
07D2	Calculating machine operator	1
07D3	Computer operator	291
07D4	Data processing operator	17
07D6	Key-punch operator	6
07D7	Photocopying machine operator	1
07DZ	Office machine operator NOS	2
07E	Telephone/radio/mail supervis.	13
07E1	Supervisor: telephone operat.	7
07E2	Supervisor: radio operators	1
07E4	Supervisor: mail/parcel op.	4
07EZ	Telephone/mail supervisor NOS	4
07F	Telephonists	49
07F1	Telephonist - public exchange	10
07F2	Telephonist-private exchange	64
07FZ	Telephonist NOS	35
07G	Radio/telegraph operators	2
07G1	Radio operator	1
07G3	Radio telephone operator	6
07GZ	Radio/telegraph operator NOS	1
07H	Mail/message distributors	7
07H1	Mail sorter	16
07H2	Postman	404
07H3	Messenger	49
07HZ	Mail/message distributor NOS	5
07Z	Other clerical occupations	159
08	Selling occupations	1449
081	Sales supervisors	110
0811	Sales supervisor	116
081Z	Sales supervisor NOS	24
082	Salesmen/shop assistants	409
0821	Salesman	310
0822	Shop assistant	1010
0823	Receiving shop assistant	51
0824	Petrol station attendant	21
082Z	Salesman/shop assistant NOS	184
083	Roundsmen	7
0831	Milkman	48
0832	Laundry roundsman	4
083Z	Roundsman NOS	6
084	Street traders	16
0841	Mobile shop/van salesman	1
0842	Street stall salesman	7
084Z	Street trader NOS	2
085	Technical sales representat.	66
0851	Technical sales rep.	25
0852	Trainee technical sales rep.	1
085Z	Technical sales rep. NOS	11
086	Wholesale sales reps.	27
0861	Wholesale field sales superint	12
0862	Wholesale sales rep.	11
086Z	Wholesale sales rep. NOS	8
087	Property sales reps.	25
0871	Property negotiator	33
0872	Auctioneer	3
0873	Insurance inspector - property	4
0874	Insurance agent - property	3
0875	Office/cleaning sales rep.	1
087Z	Property sales rep. NOS	4
0880	Hand gun merchant	1
089	Travel agent	150
08Z	Other sales representatives	83
08Z1	Sales demonstrators	3
08Z2	Commodity broker	10
08Z3	Importer	14
08Z4	Exporter	9
08Z5	Shipbroker	5
08Z6	Airbroker	2
08ZZ	Other sales rep. NOS	68
09	Security/protective services	528
091	Armed forces: non-comissioned	15
0911	Non-commissioned officer	3
0912	Member of armed forces	109
0913	Trainee - armed forces	3
091Z	Armed forces NOS	12
092	Supervisors-protective service	3
0921	Police sergeant	41
0922	Supervisor - fire service	2
0923	Principal prison officer	11
0924	Chief security officer	12
092Z	Protective supervisors NOS	6
093	Policemen	109
0931	Police constable	234
0932	Trainee policeman	15
093Z	Policeman NOS	156
094	Fire officers	12
0941	Fireman	159
0942	Fire prevention officer	6
0944	Trainee fireman	2
094Z	Fire officer NOS	1
09Z	Other protective services	80
09Z2	Prison officer	100
