Coefficient	Code	Description
0.0000	F522	"Chronic suppurative otitis media
0.0000	F5635	Viral labyrinthitis
0.0000	FES/9145EMIS	Felodipine  M/R tablets  5 mg
0.0000	FETA9098BRIDL	Ferrous Sulphate  Tablets  300 mg
0.0000	G3y	Other specified ischaemic heart disease
0.0000	G57y	Other cardiac dysrhythmias
0.0000	H0616	Acute bronchiolitis due to other specified organisms
0.0000	HEWITAS13	Unknown vendor specific drug
0.0000	HEWITPO12	Unknown vendor specific drug
0.0000	K021	Chronic membranous glomerulonephritis
0.0000	K0z	Nephritis/nephrosis NOS
0.0000	M0161	Boil of thigh
0.0000	MEIN25347EMIS	Metrodin High Purity  Injection  75 units/amp
0.0000	MITA10737BRIDL	Micturin  Tablets  25 mg
0.0000	NAMASGO1	Unknown vendor specific drug
0.0000	NIM/19537EMIS	Nifedipine  M/R tablets  20 mg
0.0000	PCS7073IN10	Unknown vendor specific drug
0.0000	PH311	Port wine stain
0.0000	PINFOHB2	Unknown vendor specific drug
0.0000	PRCA8367EGTON	Prozac  Capsules  20 mg
0.0000	PRFO4199	Predfoam  Foam  20 mg/application
0.0000	PRIN31293EMIS	Prostap 3  Injection  11.25 mg/2 ml vial
0.0000	PRTA2402	Prothiaden  Tablets  75 mg
0.0000	S352F	"Closed # metatarsal
0.0000	SATA2498	Sandocal 400  Tablets
0.0000	SIUREGTON8208	Seton Simpla 2 Litre S4  Urine drainage bags  long tube, 340805
0.0000	SLM/26055EMIS	Slozem  M/R capsules  120 mg
0.0000	TC020	Fall on steps
0.0000	TCz	Accidental falls NOS
0.0000	U600z	[X]Unspecif syst antibiotic caus adverse eff in therap use
0.0000	U6012	[X]Antimal/drug act oth blood protoz caus adv eff ther use
0.0000	U6041	[X]Vit B12/folic/oth ant-megalobl-anaem caus adv ef ther use
0.0000	XaBpY	Unknown vendor specific drug
0.0000	Y1118	Unknown vendor specific drug
0.0000	bden	CO-TENIDONE 100/25mg tablets
0.0000	bi2x	ENALAPRIL MALEATE 10mg tablets x28
0.0000	bi3c	ZESTRIL 2.5mg tablets 28CP
0.0000	bl3y	ISOSORBIDE MONONITRATE 60mg m/r tablets
0.0000	bxk2	CRESTOR 20mg tablets
0.0000	bxkz	ROSUVASTATIN 40mg tablets
0.0000	f25a	HUMULIN I 100iu/mL injection 10mL
0.0000	f27x	HUMULIN M2 20/80 cartridges 3mL
0.0000	ft11	ACARBOSE 50mg tablets
0.0000	ft12	ACARBOSE 100mg tablets
0.0000	ft34	*NOVONORM 0.5mg tablets
0.0000	ft38	PRANDIN 1mg tablets
0.0000	i21z	IRON DEXTRAN COMPLEX 100mg/2mL injection
0.0000	i44H	EPOETIN ALFA 4000iu/0.4mL prefilled syringe
0.0000	i473	ARANESP 20micrograms/0.5mL prefilled syringe
0.0000	ij32	PHOSEX 1g tablets
